 DATA POINTS
     8.30000019     8.30000019
    12.00000000    12.00000000
     2.00000000     2.00000000
     4.00000000     4.00000000
     1.00000000     1.00000000
     4.50000000     4.50000000
    12.10000038    12.10000038
     4.59999990     4.59999990
     3.00000000     3.00000000
     7.19999981     7.19999981
     9.00000000     9.00000000
 SORTED DATA
     1.00000000     1.00000000
     2.00000000     2.00000000
     3.00000000     3.00000000
     4.00000000     4.00000000
     4.50000000     4.50000000
     4.59999990     4.59999990
     7.19999981     7.19999981
     8.30000019     8.30000019
     9.00000000     9.00000000
    12.00000000    12.00000000
    12.10000038    12.10000038
